sex,bib,team,place,name,nationality,swim_time,swim_place,t1_time,bike_time,bike_place,t2_time,run_time,run_place,total_time
M,1197,Post SV Nürnberg,1,RUPPRECHT Alexander,GER,00:24:17,10,00:01:55,00:58:09,1,00:01:11,00:34:59,3.0,02:00:28
M,1188,Twin Neumarkt,2,WIEDEMANN Matteo,GER,00:23:51,8,00:01:55,00:59:43,2,00:01:41,00:33:50,1.0,02:00:57
M,1214,,3,HARTMANN Johannes,GER,00:20:53,2,00:02:30,01:02:05,4,00:01:53,00:35:39,5.0,02:02:58
M,1120,Donau Run Ingolstadt,4,OSTERMEIR Lukas,GER,00:23:02,4,00:01:53,01:03:49,8,00:02:28,00:34:31,2.0,02:05:42
M,1097,Halberhai e.V Nürnberg.,5,DOWALIL Christoph,GER,00:23:07,5,00:02:06,01:03:14,5,00:01:50,00:36:06,7.0,02:06:21
M,1215,,6,HARTMANN Christoph,GER,00:23:12,6,00:02:28,01:00:59,3,00:01:43,00:40:06,23.0,02:08:25
M,1103,,7,BREVET Valentin,GER,00:24:12,9,00:02:49,01:05:34,16,00:02:13,00:35:56,6.0,02:10:42
M,1118,TSV 1909 Gersthofen,8,KURMYSHKIN Frank,GER,00:21:20,3,00:02:35,01:07:36,30,00:02:26,00:37:11,9.0,02:11:07
M,1166,1. FC St. Pauli Triathlon,9,PLESKER Robin,GER,00:25:36,15,00:02:00,01:03:18,6,00:03:03,00:40:38,28.0,02:14:34
M,1000,Triathlon Team Rückersdorf,10,KLINK Maximilian,GER,00:26:09,17,00:02:49,01:04:59,12,00:02:42,00:38:23,12.0,02:15:00
M,1203,SSF Bonn,11,HEITMANN Janusz,GER,00:26:39,20,00:03:29,01:06:49,22,00:02:23,00:37:18,10.0,02:16:36
M,1202,TV 06 Thalmässing,12,KNOLL Georg,GER,00:26:34,19,00:03:01,01:04:00,10,00:02:13,00:40:59,31.0,02:16:45
M,1159,TSV Gaimersheim,13,BILLES Robin,GER,00:27:44,26,00:02:12,01:04:30,11,00:02:12,00:40:14,24.0,02:16:50
M,1217,Freeradicals Zürich,14,REICHMUTH Walter,SUI,00:24:34,12,00:02:22,01:07:51,34,00:02:35,00:40:16,25.0,02:17:35
M,1142,,15,NOWAK Tim,GER,00:28:11,29,00:03:01,01:05:25,14,00:02:30,00:38:41,15.0,02:17:44
M,1173,,16,LEHMANN Marcus,GER,00:27:01,22,00:02:18,01:06:26,21,00:02:06,00:40:32,27.0,02:18:21
M,1014,,17,ZIMMERMANN Philipp,GER,00:29:08,39,00:02:30,01:06:03,20,00:01:51,00:39:04,16.0,02:18:35
M,1111,,18,SPITTLER Daniel,GER,00:30:18,49,00:02:13,01:07:05,24,00:02:08,00:37:42,11.0,02:19:24
M,1182,DATAGROUP Endurance Team,19,LÖHLEIN Dominik,GER,00:31:23,59,00:02:54,01:03:44,7,00:02:01,00:39:26,20.0,02:19:25
M,1152,,20,WAGNER André,GER,00:28:22,30,00:02:16,01:11:25,69,00:02:38,00:35:25,4.0,02:20:04
M,1205,TSV Harburg,21,BURKHARDT Marco,GER,00:27:16,24,00:02:27,01:07:28,27,00:02:13,00:41:08,33.0,02:20:30
M,1207,TV Königsberg,22,WERNER Johannes,GER,00:28:45,35,00:02:45,01:05:58,18,00:01:52,00:42:17,39.0,02:21:35
M,1038,Powerbärs Rednitzhembach,23,MIERLEIN Tim,GER,00:29:27,42,00:02:54,01:07:43,32,00:02:05,00:39:48,22.0,02:21:56
M,1133,,24,KOHLSCHMID Dominik,GER,00:20:43,1,00:02:45,01:11:56,75,00:02:26,00:44:31,53.0,02:22:18
M,1204,TG 48 Schweinfurt,25,EDELMANN Johannes,GER,00:24:54,13,00:02:38,01:08:49,44,00:02:48,00:44:44,57.0,02:23:51
M,1114,,26,STRÄTER Markus,GER,00:28:30,31,00:03:39,01:08:13,39,00:01:37,00:41:59,36.0,02:23:56
M,1026,SCPE Munchen,27,LARRICQ Romain,FRA,00:30:48,54,00:02:43,01:09:35,50,00:02:24,00:38:35,13.0,02:24:03
M,1130,,28,DILLET Gabriel,FRA,00:27:56,28,00:02:39,01:12:49,82,00:02:14,00:38:36,14.0,02:24:12
M,1199,,29,HELMSTAEDT Vincent,GER,00:27:23,25,00:02:53,01:10:31,59,00:02:13,00:41:27,34.0,02:24:26
M,1218,Post SV Nürnberg,30,SCHNEIDER Ingo,GER,00:25:25,14,00:03:37,01:10:47,62,00:02:24,00:43:01,43.0,02:25:12
M,1147,Team CultureClub 2.0,31,KLOOS Christoph,GER,00:32:11,69,00:02:49,01:07:00,23,00:03:05,00:40:50,30.0,02:25:54
M,1021,TSV Katzwang 05,32,WALLISCH Michael,GER,00:26:20,18,00:04:20,01:07:13,25,00:02:14,00:45:58,69.0,02:26:02
